label,kind,checkpoint,decoder,duration,steps,n_seeds,n_warm,gen_min_ms,gen_med_ms,gen_max_ms,dec_min_ms,dec_med_ms,dec_max_ms,total_med_ms,wall_s
2B-turbo 60s,tensorrt,acestep-v15-turbo,decoder_mixed_b8_60s,58.0,8,5,4,130.80716133117676,132.9554319381714,133.4526538848877,54.34536933898926,54.688334465026855,56.54478073120117,187.64376640319824,14.949514389038086
2B-turbo refit 60s,tensorrt,acestep-v15-turbo,decoder_mixed_refit_b8_60s,58.0,8,5,4,123.89183044433594,125.89693069458008,129.02545928955078,54.56137657165527,55.748820304870605,56.485891342163086,181.64575099945068,14.657129049301147
2B-turbo 240s,tensorrt,acestep-v15-turbo,decoder_mixed_b8_240s,238.0,8,5,4,436.2764358520508,439.76283073425293,441.0114288330078,203.1402587890625,205.4586410522461,207.69667625427246,645.221471786499,15.559739828109741
2B-turbo refit 240s,tensorrt,acestep-v15-turbo,decoder_mixed_refit_b8_240s,238.0,8,5,4,439.12816047668457,441.18940830230713,441.4389133453369,203.50074768066406,204.14435863494873,204.6809196472168,645.3337669372559,16.476117849349976
2B-base 60s,tensorrt,acestep-v15-base,decoder_base_mixed_b8_60s,58.0,8,5,4,119.85468864440918,120.69499492645264,121.10018730163574,50.53257942199707,53.40015888214111,54.036855697631836,174.09515380859375,12.607497930526733
2B-base refit 60s,tensorrt,acestep-v15-base,decoder_base_mixed_refit_b8_60s,58.0,8,5,4,123.84915351867676,124.4133710861206,132.05218315124512,54.16297912597656,55.64558506011963,57.3883056640625,180.05895614624023,15.049288272857666
XL-turbo 60s,tensorrt,acestep-v15-xl-turbo,decoder_xl-turbo_bf16mix_dynbatch_b8_60s,58.0,8,5,4,447.3412036895752,450.6646394729614,453.035831451416,54.53205108642578,55.54163455963135,56.57482147216797,506.2062740325928,27.4082510471344
